"employee_number","number_of_hours","reasons","withpay","dateleave"
"employee73","9","personal matter",False,"2018-01-01"
"employee1864","9","family reunion",True,"2018-01-06"
"employee2257","9","attended to my sick husband",True,"2018-01-15"
"employee1121","4.5","Half Vacation leave
0800H - 1230H",True,"2018-01-16"
"employee2255","9","TO VISIT MY FATHER SICK IN PROVINCE",True,"2018-01-22"
"employee1057","9","SICK DAUGHTER",True,"2018-01-12"
"employee1104","9","VACATION  LEAVE",True,"2018-01-21"
"employee2063","9","due to family matters",True,"2018-01-18"
"employee716","9","Attended Sick Wife",True,"2018-01-07"
"employee1092","9","birthday of my wife",True,"2018-01-16"
"employee1094","9","vacation leave w/ pay..",True,"2018-01-18"
"employee835","9","partial vacation leave",True,"2018-01-22"
"employee835","9","partial vacation leave",True,"2018-01-23"
"employee914","9","Due severe Headache medical certificate submitted",True,"2018-01-02"
"employee914","9","Due severe Headache medical certificate submitted",False,"2018-01-03"
"employee914","9","Observed Holiday",False,"2018-01-01"
"employee2264","9","R/O FRONTAL SINUSITIS",False,"2018-01-01"
"employee2264","9","R/O FRONTAL SINUSITIS",True,"2018-01-04"
"employee839","9","vacation leave",True,"2018-01-18"
"employee839","9","vacation leave",True,"2018-01-19"
"employee839","9","vacation leave",True,"2018-01-20"
"employee839","9","vacation leave",True,"2018-01-21"
"employee839","9","vacation leave",True,"2018-01-22"
"employee3154","9","due to heavy rain fall",False,"2018-01-03"
"employee1571","9","fever/ body pain",True,"2018-01-04"
"employee509","9","Vacation leave",True,"2018-01-21"
"employee3022","9","PERSONAL MATTER",True,"2018-01-11"
"employee3022","9","PERSONAL MATTER",True,"2018-01-15"
"employee873","9","Unused Vacation Leave.",True,"2018-01-16"
"employee873","9","Unused Vacation Leave.",True,"2018-01-17"
"employee883","9","e/l due sick wife, med cert submitted to office",True,"2018-01-02"
"employee883","9","e/l due sick wife, med cert submitted to office",True,"2018-01-03"
"employee892","9","partial vacation leaVE",False,"2018-01-21"
"employee892","9","partial vacation leaVE",False,"2018-01-22"
"employee892","9","partial vacation leaVE",False,"2018-01-23"
"employee892","9","partial vacation leaVE",False,"2018-01-24"
"employee892","9","partial vacation leave",False,"2018-01-28"
"employee892","9","partial vacation leave",False,"2018-01-29"
"employee892","9","partial vacation leave",False,"2018-01-30"
"employee892","9","partial vacation leave",False,"2018-01-31"
"employee892","9","partial vacation leave",False,"2018-02-01"
"employee892","9","partial vacation leave",False,"2018-02-04"
"employee892","9","partial vacation leave",False,"2018-02-05"
"employee910","9","partial vacation leave",True,"2018-01-02"
"employee870","9","vacation leave/ availment of unused vl of 2017",True,"2018-01-23"
"employee870","9","vacation leave/ availment of unused vl of 2017",True,"2018-01-24"
"employee870","9","vacation leave/ availment of unused vl of 2017",True,"2018-01-25"
"employee870","9","vacation leave/ availment of unused vl of 2017",True,"2018-01-26"
"employee870","9","vacation leave/ availment of unused vl of 2017",True,"2018-01-27"
"employee3192","9","....",True,"2018-01-08"
"employee3192","9","....",True,"2018-01-09"
"employee2096","9","avail holiday",False,"2018-01-01"
"employee920","9","avail partial VL",True,"2018-01-21"
"employee1782","9","FAMILY MATTERS BODY REPLACEMENT MR. LIMSIACO",True,"2018-01-17"
"employee2397","9","VACATION LEAVE",True,"2018-01-22"
"employee646","9","LBM",True,"2018-01-14"
"employee566","9","ATTEND THE NEED OF MY WIFE",True,"2018-01-12"
"employee75","9","PERSONAL MATTER",True,"2018-01-13"
"employee726","9","Important personal matter",True,"2018-01-02"
"employee693","9","observe holiday",False,"2018-01-01"
"employee725","9","observe holyday",False,"2018-01-01"
"employee1631","9","COLDS",True,"2018-01-11"
"employee208","9","OBSERVED HOLIDAY",False,"2018-01-01"
"employee732","9","FAMILY REUNION",True,"2018-01-02"
"employee292","9","Colds/Sore throat",True,"2018-01-15"
"employee3198","4.5","personal matter",True,"2018-01-12"
"employee1492","9","PERSONAL REASON",True,"2018-01-20"
"employee698","9","stomackache w/attache medical cert.",True,"2018-01-02"
"employee799","9","PARTIAL VL",True,"2018-01-02"
"employee3192","9","FLU AND FEVER",True,"2018-01-10"
"employee587","4.5","PERSONAL MATTER",True,"2018-01-02"
"employee66","9","...",True,"2018-01-06"
"employee2104","9","INFECTED INGROIN, RIGHT FOOT",True,"2018-01-07"
"employee2104","9","INFECTED INGROIN, RIGHT FOOT",False,"2018-01-08"
"employee1990","9","AVAIL HOLIDAY- MANUAL FILE DUE TO LATE FILING",False,"2018-01-01"
"employee1990","9","ANNUAL VACATION- MANUAL FILE DUE TO LATE FILING",True,"2018-01-02"
"employee1990","9","ANNUAL VACATION- MANUAL FILE DUE TO LATE FILING",True,"2018-01-03"
"employee1990","9","ANNUAL VACATION- MANUAL FILE DUE TO LATE FILING",True,"2018-01-04"
"employee1990","9","ANNUAL VACATION- MANUAL FILE DUE TO LATE FILING",True,"2018-01-05"
"employee764","9","GOUTY ARTRITIS",True,"2018-01-02"
"employee1813","9","TENSION HEADACHE WITH ALLERGIC",True,"2018-01-10"
"employee771","9","processing important papers",True,"2018-01-03"
"employee1732","9","BED REST DUE THREATENED ABORTION",False,"2018-01-03"
"employee1732","9","BED REST DUE THREATENED ABORTION",False,"2018-01-04"
"employee1732","9","BED REST DUE THREATENED ABORTION",False,"2018-01-05"
"employee753","9","to attend important family matter",True,"2018-01-06"
"employee578","9","Important Family Matters",True,"2018-01-02"
"employee132","9","AGE W/ MILD DEHYDRATION",True,"2018-01-08"
"employee1911","9","SORE THROAT",True,"2018-01-04"
"employee554","9","BRING MY SON FOR HIS PEDIA CHECK UP & VACCINE",True,"2018-01-10"
"employee554","9","BRING MY SON FOR HIS PEDIA CHECK UP & VACCINE",True,"2018-01-11"
"employee1030","9","VACATION LEAVE",True,"2018-01-27"
"employee429","9","my wife sick.fr,jan,4 to 6.",True,"2018-01-04"
"employee429","9","my wife sick.fr,jan,4 to 6.",True,"2018-01-05"
"employee429","9","my wife sick.fr,jan,4 to 6.",True,"2018-01-06"
"employee1019","9","employees option",True,"2018-01-22"
"employee1019","9","employees option",True,"2018-01-23"
"employee1019","9","employees option",True,"2018-01-24"
"employee1019","9","emp option",True,"2018-02-13"
"employee1019","9","emp option",True,"2018-02-14"
"employee1019","9","emp option",True,"2018-02-26"
"employee1003","9","vacation leave",True,"2018-02-26"
"employee2244","9","SINAMAHAN KO PO NANAY KO MAGPA CHECK UP",True,"2018-01-09"
"employee595","9","TAKE CARE MY WIFE SICK",True,"2018-01-13"
"employee2236","9","LBM",True,"2018-01-12"
"employee1447","9","VERTIGO",True,"2018-01-05"
"employee1447","9","VERTIGO",False,"2018-01-06"
"employee1447","9","VERTIGO",False,"2018-01-07"
"employee1447","9","VERTIGO",False,"2018-01-08"
"employee1447","9","VERTIGO",False,"2018-01-09"
"employee1580","9","Swollen eye",True,"2018-01-11"
"employee973","9","loose bowel movement",True,"2018-01-12"
"employee973","9","loose bowel movement",True,"2018-01-13"
"employee260","9","Vacation",True,"2018-01-19"
"employee70","9","vacation leave
b/r M. Ilagan",True,"2018-01-17"
"employee1711","9","t/c urti with med cert consulted by sky clinic doc",False,"2018-01-12"
"employee139","9","vacation- reliever Alfredo Torre (TOE)",True,"2018-01-17"
"employee46","9","FAMILY VACATION  OUT OF TOWN MR.LIMSIACO BODY REPL",True,"2018-01-20"
"employee46","9","FAMILY VACATION  OUT OF TOWN MR.LIMSIACO BODY REPL",True,"2018-01-21"
"employee46","9","FAMILY VACATION  OUT OF TOWN MR.LIMSIACO BODY REPL",True,"2018-01-22"
"employee199","9","PERSONAL MATTER",False,"2018-01-05"
"employee831","9","SICK LEAVE DUE COUGH AND COLDS WITH FEVER.",True,"2018-01-02"
"employee831","9","SICK LEAVE DUE COUGH AND COLDS WITH FEVER.",False,"2018-01-03"
"employee831","9","SICK LEAVE DUE COUGH AND COLDS WITH FEVER.",False,"2018-01-04"
"employee831","9","SICK LEAVE DUE COUGH AND COLDS WITH FEVER.",False,"2018-01-05"
"employee1435","9","toothache",False,"2018-01-15"
"employee246","9","vacation leave",True,"2018-01-22"
"employee1040","9","My Wife is Sick..I send My Wife To the Hospital",True,"2018-01-12"
"employee2244","9","VL",True,"2018-01-19"
"employee2244","9","VL",True,"2018-01-30"
"employee1020","9","VACATION",True,"2018-01-17"
"employee480","9","Vacation Leave",True,"2018-01-20"
"employee542","9","Fever, cough with med certificate",True,"2018-01-04"
"employee542","9","Fever, cough with med certificate",False,"2018-01-05"
"employee542","9","partial leave",True,"2018-02-10"
"employee542","9","partial leave",True,"2018-02-11"
"employee551","9","mother in law sent to hospital 1230am highblood",True,"2018-01-13"
"employee816","9","Sick Leave due Fever w/ approved clearance.",True,"2018-01-16"
"employee400","9","E/L due sickson office duly notified",True,"2018-01-14"
"employee3008","9","E/L charged to v/l.",True,"2018-01-16"
"employee695","9","Scheduled leave",True,"2018-08-03"
"employee1886","9","e/l charge to v/l due to important matter",True,"2018-01-13"
"employee1830","9","EL DUE TO NEED TO REPAIR WATER PIPE LEAK",True,"2018-01-14"
"employee3194","9","Bereavement leave 
Note:charge to V/L",True,"2018-01-12"
"employee3194","9","Bereavement leave 
Note:charge to V/L",True,"2018-01-13"
"employee3194","9","Bereavement leave 
Note:charge to V/L",True,"2018-01-14"
"employee844","9","e/l charge to p/l. due to sick wife",True,"2018-01-14"
"employee3208","9","partial v/l rlvr R. PEDRO",True,"2018-01-21"
"employee821","9","PARTIALL VL",True,"2018-01-19"
"employee821","9","PARTIALL VL",True,"2018-01-22"
"employee709","9","Infected wound on Left Foot.",True,"2018-01-12"
"employee856","9","due to headache",True,"2018-01-14"
"employee856","9","due to headache",False,"2018-01-15"
"employee856","9","im going to fetch my mother at terminal 2/reunion",True,"2018-01-20"
"employee856","9","im going to fetch my mother at terminal 2/reunion",True,"2018-01-21"
"employee856","9","im going to fetch my mother at terminal 2/reunion",True,"2018-01-22"
"employee1799","9","backpain at ubo....",True,"2018-01-16"
"employee414","9","Partial Vacation Leave",True,"2018-01-24"
"employee772","9","PATERNITY LEAVE",False,"2018-01-15"
"employee772","9","PATERNITY LEAVE",False,"2018-01-16"
"employee772","9","PATERNITY LEAVE",False,"2018-01-17"
"employee772","9","PATERNITY LEAVE",False,"2018-01-18"
"employee772","9","PATERNITY LEAVE",False,"2018-01-19"
"employee772","9","PATERNITY LEAVE",False,"2018-01-22"
"employee772","9","PATERNITY LEAVE",False,"2018-01-23"
"employee2182","9","partial v/l - w/reliever mr paolo guinto",True,"2018-01-28"
"employee2461","9","PARTIALL/VL",True,"2018-01-20"
"employee909","9","to accompany my wife for her medical check up",True,"2018-01-11"
"employee909","9","sick leave due to cold and fever",True,"2018-01-12"
"employee909","9","sick leave due to cold and fever",False,"2018-01-13"
"employee540","9","E/L charge to V/L Due attended sick daugther",True,"2018-01-14"
"employee917","9","Attend sick wife",True,"2018-01-14"
"employee901","9","no one will lookfor my 9 months son.",True,"2018-01-13"
"employee901","9","no one will lookfor my 9 months son.",True,"2018-01-14"
"employee892","9","personal matter",True,"2018-01-07"
"employee892","9","personal matter",True,"2018-01-08"
"employee892","9","personal matter",True,"2018-01-09"
"employee892","9","personal matter",True,"2018-01-10"
"employee919","9","SICK LEAVE DUE GOUT,,WITH MED. CERT.",True,"2018-01-14"
"employee2037","9","mother confined (w/ justification) charge to VL",True,"2018-01-09"
"employee2037","9","mother confined (w/ justification) charge to VL",True,"2018-01-10"
"employee952","9","process my passport",True,"2018-01-18"
"employee952","9","process my license",True,"2018-02-05"
"employee990","9","family matters",True,"2018-01-14"
"employee990","9","family matters",True,"2018-01-15"
"employee887","9","vacation leave and accompanied relatives",True,"2018-01-21"
"employee695","9","Scheduled leave",True,"2018-08-06"
"employee887","9","vacation leave and accompanied relatives",True,"2018-01-22"
"employee93","4.5","Half-day/Emergency Leave due to family matter.",True,"2018-01-16"
"employee22","9","HEADACHE",True,"2018-01-10"
"employee22","9","HEADACHE",False,"2018-01-11"
"employee22","9","HEADACHE",False,"2018-01-12"
"employee1434","4.5","1000H-1430H RETURNED HOME DUE STOMACH PROBLEM",True,"2018-01-04"
"employee1801","9","FAMILY MATTER",True,"2018-01-14"
"employee1801","9","FAMILY MATTER",True,"2018-01-15"
"employee553","9","IMPORTANT MATTER",True,"2018-01-15"
"employee474","4.5","ATTEND MY FRIENDS WEDDING",True,"2018-01-18"
"employee582","9","Renew Licence",True,"2018-01-19"
"employee1440","9","PERSONAL- SCHOOL ACTIVITY (FAMILY DAY)",True,"2018-01-24"
"employee62","9","PERSONAL MATTER",True,"2018-01-08"
"employee62","9","PERSONAL MATTER",True,"2018-01-09"
"employee62","9","PERSONAL MATTER",True,"2018-01-10"
"employee2246","9","To file documents with insurance.",True,"2018-01-15"
"employee2514","4.5","personal matters",True,"2018-01-22"
"employee439","9","FEVER, COUGH AND COLDS",True,"2018-01-15"
"employee1751","4.5","PERSONAL MATTER",False,"2018-01-15"
"employee6","9","family reunion MINDORO",True,"2018-01-11"
"employee6","9","family reunion MINDORO",False,"2018-01-10"
"employee1025","9","vacation leave",True,"2018-02-18"
"employee2259","9","family matters",True,"2018-01-21"
"employee1005","9","TRAVEL DOMESTIC PPS",True,"2018-01-29"
"employee1005","9","TRAVEL DOMESTIC PPS",True,"2018-01-30"
"employee1005","9","TRAVEL DOMESTIC PPS",True,"2018-01-31"
"employee1011","9","TO HELP MY WIFE TO PROCESS  FOR TRANSFER TO MANILA",True,"2018-03-25"
"employee1011","9","TO HELP MY WIFE TO PROCESS  FOR TRANSFER TO MANILA",True,"2018-03-26"
"employee1011","9","TO HELP MY WIFE TO PROCESS  FOR TRANSFER TO MANILA",True,"2018-03-27"
"employee1011","9","TO HELP MY WIFE TO PROCESS  FOR TRANSFER TO MANILA",True,"2018-03-28"
"employee1011","9","TO HELP MY WIFE TO PROCESS FOR TRANSFER TO MANILA",False,"2018-03-29"
"employee1011","9","TO HELP MY WIFE TO PROCESS TRANSFER TO MANILA",True,"2018-04-01"
"employee1004","9","PNEMONIA AT LOWER RESPERATORY & ACUTE TONSILITIS",True,"2018-01-16"
"employee1033","9","LBM",True,"2018-01-13"
"employee1058","9","To attend important family matter",True,"2018-02-10"
"employee1058","9","To attend important family matter",True,"2018-03-17"
"employee1058","9","To attend important family matter",True,"2018-03-18"
"employee2834","9","important matter",True,"2018-01-20"
"employee1091","9","VACATION LEAVE",True,"2018-01-21"
"employee1426","9","vacation leave,",True,"2018-01-20"
"employee1582","9","V/L",True,"2018-01-23"
"employee2462","9","NEED TO ACCOMPANY MY MOTHER",True,"2018-01-14"
"employee3006","9","had to help arrange the person who will fix our ro",True,"2018-01-13"
"employee957","9","family problem",True,"2018-01-16"
"employee558","9","EL DUE FAMILY MATTER",True,"2018-01-14"
"employee244","9","PERSONAL MATTER",True,"2018-01-15"
"employee224","9","HAD TO AMPNY MOTHER /ANTI RABIES SHOT",True,"2018-01-02"
"employee554","9","GO TO HIS PEDIA FOR CHECK UP OF MY SON",True,"2018-01-02"
"employee567","9","personal matter",False,"2018-01-18"
"employee533","9","PERSONAL MATTER",True,"2018-01-18"
"employee533","9","PERSONAL MATTER",True,"2018-01-19"
"employee533","9","PERSONAL MATTER",True,"2018-01-20"
"employee533","9","PERSONAL MATTER",True,"2018-01-23"
"employee1062","9","accompanied my mother not feeling well.",True,"2018-01-06"
"employee1027","9","GOING TO PROVINCE",True,"2018-01-19"
"employee1027","9","GO TO PROVINCE",True,"2018-01-20"
"employee1027","9","GO TO PROVINCE",True,"2018-01-21"
"employee1027","9","GO TO PROVINCE",True,"2018-01-22"
"employee1027","9","GO TO PROVINCE",True,"2018-01-23"
"employee942","9","MY. WIFE HAD FEVER AND FLU , HOME REMEDY",True,"2018-01-06"
"employee942","9","SENT HOME DUE TO HYPERTENSION",True,"2018-01-12"
"employee942","9","HYPERTENSION",False,"2018-01-13"
"employee942","9","HYPERTENSION",False,"2018-01-14"
"employee1471","9","PERSONAL MATTER",True,"2018-01-19"
"employee1471","9","PERSONAL MATTER",True,"2018-01-20"
"employee1471","9","PERSONAL MATTER",True,"2018-01-21"
"employee1471","9","PERSONAL MATTER",True,"2018-01-22"
"employee1471","9","PERSONAL MATTER",True,"2018-01-23"
"employee421","9","FAMILY MATTER",True,"2018-01-06"
"employee1657","9","MY SON NOT FEELING WELL.[.CHARGE TO V/L]",True,"2018-01-12"
"employee2260","9","have my electrical outlets in the house checked",True,"2018-01-14"
"employee972","9","HEARTBURN CHESTPAIN",True,"2018-01-12"
"employee1043","9","IMPORTANT MATTER",True,"2018-01-06"
"employee2116","9","SICK WIFE",True,"2018-01-14"
"employee943","9","SINAMAHAN KO MAG PAGAMOT ANG TATAY KO DIABETIC NYA",True,"2018-01-09"
"employee2076","9","DUE FAMILY REUNION
INLIEU JANILLE RLATO/JEAN GRGLS",True,"2018-01-15"
"employee103","9","nursed my daughter with high fever",True,"2018-01-11"
"employee1877","9","my son got sick",True,"2018-01-11"
"employee1877","9","my son got sick",True,"2018-01-14"
"employee3192","9","Family matters",True,"2018-01-11"
"employee3192","9","Family matters",True,"2018-01-12"
"employee3066","9","MY UNCLE WAS HOSPITALIZED DUE INTERNAL BLEEDING.",True,"2018-01-10"
"employee3066","9","MY UNCLE WAS HOSPITALIZED DUE INTERNAL BLEEDING.",True,"2018-01-11"
"employee3066","9","MY UNCLE WAS HOSPITALIZED DUE INTERNAL BLEEDING.",True,"2018-01-12"
"employee59","9","WENT TO LAGUNA DUE TO FAMILY MATTERS",False,"2018-01-12"
"employee2995","9","cough and colds",True,"2018-01-15"
"employee177","9","SL DUE TO ACUTE TONSILLO PHARYNGITIS; URTI",True,"2018-01-09"
"employee177","9","SL DUE TO ACUTE TONSILLO PHARYNGITIS; URTI",False,"2018-01-10"
"employee177","9","EL DUE TO MY MOTHERS CONSULTATION AT THE HOSPITAL",True,"2018-01-13"
"employee3016","9","Migraine, Colds and Cough 
(attached MC hardcopy)",False,"2018-01-09"
"employee1390","9","important matter..",False,"2018-07-27"
"employee3016","9","Migraine, Colds and Cough 
(attached MC hardcopy)",False,"2018-01-10"
"employee774","9","attend wedding ceremony of family friend",True,"2018-01-21"
"employee131","9","1ST BIRTHDAY",True,"2018-08-03"
"employee131","9","1ST BIRTHDAY",True,"2018-08-04"
"employee131","9","1ST BIRTHDAY",True,"2018-08-05"
"employee57","9","ROAD CLOSURE DUE TO FEAST OF BLACK NAZARENE",False,"2018-01-07"
"employee627","9","my father admitted in the hospital due colon cance",True,"2018-01-13"
"employee627","9","my father admitted in the hospital due colon cance",True,"2018-01-14"
"employee627","9","my father admitted in the hospital due colon cance",True,"2018-01-15"
"employee1838","9","e/l charge to vl due pr 508/14 cxld SIN/MNL",True,"2018-01-14"
"employee1818","9","TO AVAIL 1 DAY VL",True,"2018-01-13"
"employee3109","9","SORE EYES",True,"2018-01-08"
"employee3109","9","SORE EYES",False,"2018-01-09"
"employee3109","9","SORE EYES",False,"2018-01-10"
"employee3109","9","SORE EYES",False,"2018-01-11"
"employee225","9","FAMILY VACATION",True,"2018-02-15"
"employee225","9","FAMILY VACATION",True,"2018-02-16"
"employee225","9","FAMILY VACATION",True,"2018-02-17"
"employee512","9","birthday of my daughter",True,"2018-03-04"
"employee2116","9","SICK WIFE",True,"2018-01-13"
"employee1559","9","no one will take care of my son",True,"2018-01-15"
"employee185","9","EL DUE FIRE INTERRUPTION ACROSS OUR HOUSE",True,"2018-01-09"
"employee185","9","EL DUE PERSONAL PROBLEM",True,"2018-01-13"
"employee185","9","EL DUE PERSONAL PROBLEM",True,"2018-01-14"
"employee203","9","FOLLOW UP CHECK AND LAB - URINALYSIS. WITH MEDCERT",True,"2018-01-12"
"employee2479","9","difficulty in commuting(Feast of the BlackNazarene",True,"2018-01-11"
"employee1678","9","sinugod yung pamangkin ko sa hospital po",False,"2018-01-13"
"employee1768","9","WISDOM TOOTH EXTRACTION",False,"2018-01-08"
"employee1768","9","WISDOM TOOTH EXTRACTION",False,"2018-01-09"
"employee1768","9","WISDOM TOOTH EXTRACTION",False,"2018-01-12"
"employee1768","9","WISDOM TOOTH EXTRACTION",False,"2018-01-13"
"employee1768","9","WISDOM TOOTH EXTRACTION",False,"2018-01-14"
"employee790","9","FILED ALREADY. WITH ATTACHMENT",True,"2018-01-14"
"employee621","9","attend medical attention to my parent",True,"2018-01-11"
"employee2504","9","PHOC advsd.Attached med cert
and clearance.",True,"2018-01-11"
"employee171","9","ATTEND FUNERAL OF MY UNCLE",True,"2018-01-10"
"employee171","9","ATTEND FUNERAL OF MY UNCLE",True,"2018-01-11"
"employee71","4.5","Will accompany son to choral speech competition",True,"2018-01-17"
"employee977","9","MY DAUGHTERS MONTHLY CHECK UP",True,"2018-01-09"
"employee977","9","FOLLOW UP CHECK UP MAY WIFE",True,"2018-01-10"
"employee950","9","TOOK CARE OF MY SICK SON FOR CHECK UP.",True,"2018-01-13"
"employee1957","9","NANAKAWAN  KAMI SA BAHAY..",True,"2018-01-13"
"employee1016","9","assist my sick father",True,"2018-01-13"
"employee3071","9","flu vacine",True,"2018-01-13"
"employee1158","9","to accompany my mother",True,"2018-01-02"
"employee1158","9","to accompany my mother",True,"2018-01-03"
"employee1158","9","follow up check up for my mother",True,"2018-01-08"
"employee1511","9","LEFT TUMOR MED.OPERATION",True,"2018-01-06"
"employee1511","9","LEFT TUMOR MED.OPERATION",False,"2018-01-07"
"employee1511","9","LEFT TUMOR MED.OPERATION",False,"2018-01-08"
"employee1511","9","LEFT TUMOR MED.OPERATION",False,"2018-01-09"
"employee1511","9","LEFT TUMOR MED.OPERATION",False,"2018-01-12"
"employee1511","9","LEFT TUMOR MED.OPERATION",False,"2018-01-13"
"employee1511","9","LEFT TUMOR MED.OPERATION",False,"2018-01-14"
"employee1511","9","LEFT TUMOR MED.OPERATION",False,"2018-01-15"
"employee2069","9","GRAND REUNION",True,"2018-01-06"
"employee2069","9","GRAND REUNION",True,"2018-01-07"
"employee2069","9","GRAND REUNION",True,"2018-01-08"
"employee995","9","SL due LBM",True,"2018-01-16"
"employee980","9","acute gastritis",True,"2018-01-17"
"employee2170","9","vacation at our province
br: 01/16- nomar",True,"2018-01-16"
"employee2170","9","vacation at our province
br: 01/17- pada",True,"2018-01-17"
"employee2170","9","vacation at our province
br: 01/17- magno",True,"2018-01-18"
"employee3041","9","BODY PAIN",True,"2018-01-16"
"employee2170","9","vacation at our province
br: 01/19- sarmiento",True,"2018-01-19"
"employee2170","9","vacation at our province
br: 01/22- nunez",True,"2018-01-22"
"employee2170","9","vacation at our province
br: 01/23- juadines tj",True,"2018-01-23"
"employee1801","9","FAMILY MATTER",True,"2018-01-16"
"employee31","9","VL BR: MR. SALAZAR, JASPER",True,"2018-01-19"
"employee1663","9","FAMILY EVENT",True,"2018-01-02"
"employee1478","9","VACATION LEAVE
RELIEVER TUE-ELA
WED-CES
THU-MAL",True,"2018-01-23"
"employee1478","9","VACATION LEAVE
RELIEVER TUE-ELA
WED-CES
THU-MAL",True,"2018-01-24"
"employee1478","9","VACATION LEAVE
RELIEVER TUE-ELA
WED-CES
THU-MAL",True,"2018-01-25"
"employee1406","9","IMPORTANT FAMILY MATTER",True,"2018-01-16"
"employee105","9","family matter",True,"2018-01-21"
"employee2088","9","partial leave ,B/r Mr Alfonso Platilla",True,"2018-02-04"
"employee35","9","PARTIAL VACATION LEAVE B/REP. MR.J. SALAZAR",True,"2018-01-21"
"employee1548","9","DAY OFF DUTY MS.JECYN DELA PENA",True,"2018-01-20"
"employee629","9","VL BR: OCAVA, GIANINA",True,"2018-01-20"
"employee1701","9","due for med chk up RE: right shoulder,
oic - glen",True,"2018-01-20"
"employee1552","9","family outing
BR- JOEMARK TION",True,"2018-01-19"
"employee2139","9","PARTIAL VACATION LEAVE, BODY REPLACEMENT.M.ILAGAN",True,"2018-01-21"
"employee3069","9","VL - BR : 2/2/18 - OMANA, WALTER",True,"2018-02-02"
"employee3069","9","VL - BR : 2/5/18 MOLENO, MICHAEL",True,"2018-02-05"
"employee432","9","VACATION LEAVE (BR : KINBERLYN MADRIAGA)",True,"2018-01-20"
"employee2135","9","VACATION LEAVE",True,"2018-01-28"
"employee1401","9","PARTIAL LEAVE
BR - TENDIDO",True,"2018-01-27"
"employee1401","9","PARTIAL LEAVE
BR - OMAÑA",True,"2018-01-30"
"employee79","9","FAMILY REUNION",True,"2018-01-20"
"employee79","9","FAMILY REUNION",True,"2018-01-21"
"employee2400","9","SICK LEAVE/ SEE ATTCH MED CERT",True,"2018-01-16"
"employee1390","9","important matter..",False,"2018-07-28"
"employee1598","9","CHARGED TO MY ACCRUED VACATION LEAVE",True,"2018-01-18"
"employee720","9","Vacation leave to attend important matter.",True,"2018-01-18"
"employee720","9","Schedule vacation leave",True,"2018-01-19"
"employee1125","9","To attend to important matter.",True,"2018-01-19"
"employee695","9","Important family matter",True,"2018-01-17"
"employee918","9","flu",True,"2018-01-16"
"employee1582","4.5","V/L",True,"2018-01-24"
"employee1582","4.5","V/L",False,"2018-01-24"
"employee49","9","due to flu w/fit to work",True,"2018-01-17"
"employee1619","9","avail partial leave.",True,"2018-02-01"
"employee1619","9","avail partial leave.",True,"2018-02-02"
"employee1886","9","partial v/l reliever. GEO Rommel Obille",True,"2018-01-21"
"employee1886","9","Partial V/L to attend sister wedding",True,"2018-01-28"
"employee1886","9","Partial V/L to attend sister wedding",True,"2018-01-29"
"employee919","9","partial leave with reliever  geo pao.liz,nep...",True,"2018-01-21"
"employee919","9","partial leave with reliever  geo pao.liz,nep...",True,"2018-01-22"
"employee919","9","partial leave with reliever  geo pao.liz,nep...",True,"2018-01-23"
"employee833","9","personal leave to attend sick wife",True,"2018-01-17"
"employee812","9","partial vl",True,"2018-01-20"
"employee812","9","partial vl",True,"2018-01-21"
"employee251","9","e/l charge to personal leave",True,"2018-01-17"
"employee824","9","availing partial v/l",True,"2018-02-10"
"employee868","9","E/L SICKSON(HOSPITALIZED) MEDCERT ATTACHED",True,"2018-01-17"
"employee909","9","charge to personal leave",True,"2018-01-16"
"employee2096","9","due to renewal of drivers license",True,"2018-01-29"
"employee947","9","wedding anneversary",True,"2018-01-24"
"employee783","9","use personal vl",True,"2018-01-20"
"employee3053","9","schedule vacation leave",True,"2018-01-22"
"employee95","9","Attend important personal family matter.",True,"2018-01-22"
"employee911","9","Emergency Leave Attending my Sick Mother At Home",True,"2018-01-16"
"employee773","9","to attend important family matters",True,"2018-01-21"
"employee759","9","HEADACHE",True,"2018-01-16"
"employee759","9","sponsor at my cousins wedding",True,"2018-01-30"
"employee872","9","Avail Partial VL",True,"2018-01-25"
"employee772","9","Schedule VL.",True,"2018-01-26"
"employee764","9","Scheduled V.L. ( company option )",True,"2018-01-22"
"employee764","9","Scheduled V.L. ( company option )",True,"2018-02-01"
"employee764","9","Scheduled V.L. ( company option )",True,"2018-02-02"
"employee2457","9","To attend family importand matter",True,"2018-01-17"
"employee682","9","Body pain due to Lumbar spondylosis.",True,"2018-01-16"
"employee682","9","Body pain due to Lumbar spondylosis.",False,"2018-01-17"
"employee578","9","Important Family Matters.",True,"2018-01-16"
"employee731","9","vacation leave",True,"2018-01-18"
"employee731","9","vacation leave",True,"2018-01-19"
"employee731","9","vacation leave due at principal sponsor",True,"2018-01-26"
"employee731","9","vacation leave due at principal sponsor",True,"2018-01-29"
"employee3048","9","VACATION",True,"2018-01-27"
"employee1402","9","Some medical test to continue..",True,"2018-01-21"
"employee1402","9","Some medical test to continue..",True,"2018-01-22"
"employee132","9","Confirmed international flight",True,"2018-01-21"
"employee132","9","Confirmed international flight",True,"2018-01-22"
"employee132","9","Confirmed international flight",True,"2018-01-25"
"employee748","9","regular vl with relievers signed at vl form",True,"2018-01-17"
"employee748","9","regular vl with relievers signed at vl form",True,"2018-01-18"
"employee748","9","regular vl with relievers signed at vl form",True,"2018-01-19"
